Postcode,Latitude,Longitude
BR11AA,51.401545,0.015440
BR11AB,51.406333,0.015234
BR11AD,51.400057,0.016741
BR11AE,51.404543,0.014221
BR11AF,51.401391,0.014973
BR11AG,51.401391,0.014973
BR11AH,51.400441,0.017390
BR11AJ,51.400488,0.018859
BR11AL,51.406549,0.013130
BR11AN,51.406432,0.017323
BR11AP,51.406100,0.018286
BR11AQ,51.405876,0.015631
BR11AR,51.407274,0.017490
BR11AS,51.398996,0.016191
BR11AX,51.408226,0.017604
BR11BA,51.399090,0.015462
BR11BB,51.398191,0.015422
BR11BP,51.409026,0.010262
BR11BQ,51.408057,0.015899
BR11BS,51.407276,0.010070
BR11BT,51.399139,0.012589
BR11BU,51.409073,0.010149
BR11BW,51.398996,0.016191
BR11BX,51.407276,0.010070
BR11BY,51.408116,0.010898
BR11BZ,51.408226,0.017604
BR11DA,51.407152,0.017254
BR11DB,51.407276,0.010070
BR11DD,51.403890,0.016607
BR11DE,51.408561,0.010616
BR11DF,51.408898,0.010386
BR11DG,51.409191,0.010068
BR11DH,51.409026,0.010262
BR11DJ,51.404038,0.017405
BR11DL,51.409191,0.010068
BR11DN,51.403890,0.016607
BR11DP,51.398996,0.016191
BR11DQ,51.408898,0.010386
BR11DR,51.399090,0.015462
BR11DS,51.399742,0.016238
BR11DT,51.409026,0.010262
BR11DU,51.398996,0.016191
BR11DW,51.404088,0.014488
BR11DX,51.408226,0.017604
BR11EA,51.400462,0.016715
BR11EE,51.400887,0.015541
BR11EG,51.401639,0.015746
BR11EH,51.408226,0.017604
BR11EJ,51.400887,0.015541
BR11EL,51.401785,0.015580
BR11EN,51.402059,0.015362
BR11EP,51.401810,0.014144
BR11ER,51.399372,0.017904
BR11ES,51.402709,0.014183
BR11EU,51.402709,0.014183
BR11EW,51.402530,0.015196
BR11EX,51.403765,0.014474
BR11EY,51.403001,0.014958
BR11EZ,51.404256,0.014697
BR11GA,51.404256,0.014697
BR11HA,51.403765,0.014474
BR11HB,51.404506,0.014262
BR11HD,51.403890,0.016607
BR11HE,51.405539,0.014351
BR11HF,51.402902,0.014997
BR11HG,51.403722,0.014875
BR11HH,51.405429,0.012865
BR11HJ,51.405207,0.014279
BR11HL,51.405405,0.014302
BR11HN,51.400389,0.015203
BR11HP,51.400808,0.014373
BR11HQ,51.404506,0.014262
BR11HR,51.401647,0.014740
BR11HS,51.401561,0.014492
BR11HT,51.401520,0.014275
BR11HU,51.402095,0.014846
BR11HW,51.400948,0.013574
BR11HX,51.401140,0.014416
BR11HY,51.402102,0.014962
BR11HZ,51.401837,0.014130
BR11JA,51.401897,0.014349
BR11JB,51.402570,0.014421
BR11JD,51.404568,0.015343
BR11JF,51.404271,0.015359
BR11JG,51.404548,0.015486
BR11JH,51.404505,0.015340
BR11JJ,51.404506,0.014262
BR11JL,51.404018,0.015420
BR11JN,51.406873,0.015215
BR11JP,51.403161,0.015626
BR11JQ,51.403497,0.015425
BR11JR,51.401897,0.014349
BR11JS,51.402709,0.014183
BR11JT,51.402274,0.015961
BR11JU,51.401785,0.015580
BR11JW,51.403161,0.015626
BR11JX,51.400977,0.018693
BR11JY,51.402027,0.016180
BR11LA,51.401365,0.017028
BR11LB,51.405947,0.014124
BR11LD,51.401207,0.016820
BR11LE,51.401326,0.016667
BR11LF,51.400525,0.017264
BR11LG,51.400924,0.017066
BR11LH,51.401025,0.016941
BR11LJ,51.399964,0.016938
BR11LL,51.399964,0.016938
BR11LN,51.400862,0.016977
BR11LP,51.402578,0.016535
BR11LQ,51.400862,0.016977
BR11LR,51.402611,0.016724
BR11LS,51.401991,0.018278
BR11LT,51.401991,0.018278
BR11LU,51.401708,0.017489
BR11LW,51.402460,0.016127
BR11LX,51.400072,0.017417
BR11LY,51.401574,0.018475
BR11LZ,51.400986,0.018694
BR11NA,51.405563,0.015560
BR11NB,51.405405,0.014302
BR11ND,51.405965,0.015175
BR11NE,51.405965,0.015175
BR11NF,51.405515,0.015198
BR11NG,51.405160,0.015427
BR11NH,51.401761,0.017017
BR11NJ,51.405402,0.014963
BR11NL,51.408226,0.017604
BR11NN,51.406104,0.013887
BR11NP,51.406002,0.014055
BR11NQ,51.404397,0.015393
BR11NR,51.405355,0.017175
BR11NS,51.402659,0.017056
BR11NT,51.400438,0.018138
BR11NU,51.399964,0.016938
BR11NW,51.401761,0.017017
BR11NX,51.400438,0.018138
BR11NY,51.406459,0.013140
BR11NZ,51.406929,0.012471
BR11PA,51.407635,0.013249
BR11PB,51.407434,0.011343
BR11PD,51.405894,0.013576
BR11PE,51.408038,0.012304
BR11PF,51.408695,0.012764
BR11PG,51.406865,0.011993
BR11PH,51.406353,0.011468
BR11PJ,51.406353,0.011468
BR11PL,51.405429,0.012865
BR11PN,51.405429,0.012865
BR11PP,51.407381,0.016013
BR11PQ,51.406423,0.012621
BR11PR,51.406704,0.012993
BR11PS,51.408150,0.011547
BR11PT,51.409073,0.010149
BR11PU,51.405429,0.012865
BR11PW,51.405969,0.013392
BR11PX,51.405429,0.012865
BR11PY,51.405429,0.012865
BR11PZ,51.406328,0.012904
BR11QA,51.406479,0.013558
BR11QB,51.406303,0.014341
BR11QD,51.405405,0.014302
BR11QE,51.406730,0.015668
BR11QF,51.408226,0.017604
BR11QG,51.404397,0.015393
BR11QH,51.406696,0.015566
BR11QJ,51.407177,0.015818
BR11QL,51.407177,0.015818
BR11QN,51.407475,0.016262
BR11QP,51.401991,0.018278
BR11QQ,51.407404,0.016216
BR11QR,51.407120,0.016505
BR11QS,51.406279,0.015778
BR11QT,51.407177,0.015818
BR11QU,51.407176,0.016421
BR11QW,51.407530,0.016725
BR11QX,51.406370,0.015667
BR11QY,51.405405,0.014302
BR11RA,51.407719,0.010996
BR11RB,51.407635,0.014802
BR11RD,51.408226,0.017604
BR11RE,51.407239,0.014296
BR11RF,51.407341,0.014631
BR11RG,51.407287,0.018310
BR11RH,51.406732,0.016589
BR11RJ,51.407762,0.018417
BR11RL,51.406192,0.016105
BR11RN,51.406083,0.015654
BR11RP,51.407088,0.018387
BR11RQ,51.407152,0.017254
BR11RR,51.407276,0.010070
BR11RS,51.408226,0.017604
BR11RT,51.405380,0.015738
BR11RU,51.405880,0.015962
BR11RW,51.406291,0.017159
BR11RX,51.405380,0.015738
BR11RY,51.405764,0.016963
BR11RZ,51.404397,0.015393
BR11SA,51.407202,0.014381
BR11SB,51.407690,0.015251
BR11SD,51.407972,0.015090
BR11SE,51.403603,0.015516
BR11SG,51.407972,0.015090
BR11SH,51.405511,0.015945
BR11SJ,51.407972,0.015090
BR11SP,51.401810,0.014144
BR11SR,51.407177,0.015818
BR11SS,51.407972,0.015090
BR11ST,51.407319,0.015407
BR11SU,51.399939,0.018374
BR11SZ,51.399988,0.015501
BR11TA,51.407152,0.017254
BR11TB,51.403607,0.014223
BR11TD,51.402225,0.016189
BR11TE,51.406303,0.014341
BR11TF,51.400722,0.018855
BR11TG,51.407287,0.018310
BR11TH,51.405405,0.014302
BR11TJ,51.406279,0.015778
BR11TL,51.407152,0.017254
BR11TN,51.407152,0.017254
BR11TP,51.406607,0.014441
BR11TQ,51.403583,0.015659
BR11TR,51.402231,0.017397
BR11TS,51.402305,0.016753
BR11TT,51.402084,0.017074
BR11TU,51.401761,0.017017
BR11TW,51.407287,0.018310
BR11TX,51.404506,0.014262
BR11TY,51.405947,0.014124
BR11UA,51.404397,0.015393
BR11UB,51.408226,0.017604
BR11UD,51.408226,0.017604
BR11UE,51.408226,0.017604
BR11UF,51.404578,0.014754
BR11UG,51.404578,0.014754
BR11UH,51.408226,0.017604
BR11WA,51.408226,0.017604
BR11WB,51.408226,0.017604
BR11WD,51.408226,0.017604
BR11WE,51.408226,0.017604
BR11WF,51.408226,0.017604
BR11WG,51.408226,0.017604
BR11WH,51.408226,0.017604
BR11WJ,51.408226,0.017604
BR11WL,51.408226,0.017604
BR11WN,51.408226,0.017604
BR11WP,51.408226,0.017604
BR11WQ,51.408226,0.017604
BR11WR,51.408226,0.017604
BR11WS,51.408226,0.017604
BR11WT,51.408226,0.017604
BR11WU,51.408226,0.017604
BR11WW,51.408226,0.017604
BR11WX,51.408226,0.017604
BR11WY,51.408226,0.017604
BR11WZ,51.408226,0.017604
BR11XA,51.408226,0.017604
BR11XB,51.408226,0.017604
BR11XD,51.408226,0.017604
BR11XE,51.408226,0.017604
BR11XF,51.408226,0.017604
BR11XU,51.408226,0.017604
BR11XW,51.408226,0.017604
BR11XX,51.408226,0.017604
BR11XY,51.408226,0.017604
BR11XZ,51.408226,0.017604
BR11YW,51.404548,0.015486
BR11YX,51.408226,0.017604
BR11YZ,51.404548,0.015486
BR11ZA,51.408226,0.017604
BR11ZB,51.408226,0.017604
BR11ZD,51.408226,0.017604
BR11ZE,51.408226,0.017604
BR11ZF,51.406353,0.011468
BR11ZG,51.408226,0.017604
BR11ZH,51.404397,0.015393
BR11ZJ,51.408226,0.017604
BR11ZL,51.408226,0.017604
BR11ZN,51.406353,0.011468
BR11ZP,51.408226,0.017604
BR11ZQ,51.408226,0.017604
BR11ZR,51.404271,0.015359
BR11ZS,51.408226,0.017604
BR11ZU,51.408226,0.017604
BR11ZW,51.404397,0.015393
BR11ZX,51.408226,0.017604
BR11ZY,51.404271,0.015359
BR11ZZ,51.408226,0.017604
BR12AA,51.403386,0.043644
BR12AB,51.401750,0.054426
BR12AD,51.404295,0.046675
BR12AE,51.403326,0.047581
BR12AF,51.403678,0.045972
BR12AG,51.405404,0.052735
BR12AH,51.403246,0.047031
BR12AJ,51.405387,0.051641
BR12AL,51.405557,0.055258
BR12AN,51.404401,0.056601
BR12AP,51.404927,0.055805
BR12AQ,51.405097,0.050722
BR12AR,51.403602,0.053416
BR12AS,51.401768,0.046706
BR12AT,51.401185,0.047140
BR12AU,51.402756,0.048346
BR12AW,51.403878,0.055643
BR12AX,51.400928,0.049515
BR12AY,51.401608,0.052234
BR12AZ,51.401411,0.052729
BR12BA,51.404835,0.049762
BR12BB,51.404469,0.047546
BR12BD,51.402736,0.050473
BR12BE,51.402157,0.053279
BR12BF,51.404349,0.053910
BR12BG,51.391712,0.045812
BR12BH,51.403799,0.057580
BR12BJ,51.402541,0.058530
BR12BL,51.399162,0.038352
BR12BN,51.400410,0.038954
BR12BP,51.399433,0.038292
BR12BQ,51.402442,0.052904
BR12BS,51.398360,0.038460
BR12BT,51.398655,0.038545
BR12BU,51.399358,0.043119
BR12BW,51.399564,0.039535
BR12BX,51.399512,0.044075
BR12BY,51.398981,0.041004
BR12BZ,51.398982,0.041464
BR12DA,51.398597,0.042899
BR12DB,51.398196,0.041127
BR12DD,51.397790,0.040721
BR12DE,51.398992,0.041910
BR12DF,51.399024,0.042659
BR12DG,51.399059,0.043236
BR12DH,51.397030,0.041463
BR12DJ,51.398220,0.042882
BR12DL,51.397153,0.042173
BR12DN,51.397503,0.042189
BR12DP,51.398331,0.044741
BR12DQ,51.399077,0.044243
BR12DR,51.401056,0.038019
BR12DS,51.400569,0.039622
BR12DT,51.400710,0.038248
BR12DU,51.400124,0.040911
BR12DW,51.397756,0.042143
BR12DX,51.400505,0.041805
BR12DY,51.401258,0.043952
BR12DZ,51.400661,0.037973
BR12EA,51.398205,0.046288
BR12EB,51.399372,0.045392
BR12ED,51.391147,0.044148
BR12EE,51.397572,0.045470
BR12EF,51.397332,0.045286
BR12EG,51.396696,0.043102
BR12EH,51.397487,0.043654
BR12EJ,51.395338,0.043113
BR12EL,51.394236,0.045479
BR12EN,51.395332,0.045010
BR12EP,51.392007,0.045394
BR12EQ,51.396394,0.043936
BR12ER,51.391301,0.044630
BR12ES,51.391586,0.043205
BR12ET,51.392973,0.041585
BR12EU,51.393073,0.042035
BR12EW,51.396590,0.045555
BR12EX,51.394327,0.042824
BR12EY,51.393424,0.043057
BR12EZ,51.393681,0.043241
BR12FA,51.398723,0.062427
BR12FB,51.397183,0.063551
BR12FD,51.397190,0.061151
BR12FE,51.398368,0.060629
BR12FF,51.399182,0.061384
BR12FG,51.397769,0.060904
BR12FH,51.397653,0.062408
BR12FJ,51.397813,0.061495
BR12FL,51.397029,0.061575
BR12FN,51.396529,0.061883
BR12FP,51.396791,0.062340
BR12FQ,51.398401,0.061795
BR12FR,51.398344,0.063000
BR12FS,51.398616,0.062868
BR12FT,51.398878,0.060767
BR12FU,51.398201,0.062447
BR12FW,51.398634,0.061834
BR12FX,51.401123,0.058380
BR12FY,51.400482,0.056986
BR12GA,51.397671,0.048047
BR12GB,51.402314,0.040663
BR12GD,51.401161,0.052085
BR12GE,51.400992,0.051488
BR12GF,51.398669,0.059334
BR12GJ,51.408703,0.041954
BR12GL,51.396158,0.048670
BR12GN,51.409519,0.034355
BR12GP,51.401269,0.031990
BR12GQ,51.405038,0.043790
BR12GR,51.408226,0.017604
BR12GY,51.408226,0.017604
BR12GZ,51.397538,0.047394
BR12HA,51.394592,0.043109
BR12HB,51.392511,0.043289
BR12HD,51.392772,0.043301
BR12HE,51.398036,0.039984
BR12HF,51.390738,0.045970
BR12HG,51.399562,0.047370
BR12HH,51.398838,0.051219
BR12HJ,51.398592,0.047312
BR12HL,51.400482,0.055462
BR12HN,51.399285,0.052432
BR12HP,51.400343,0.056217
BR12HQ,51.398371,0.046598
BR12HR,51.400209,0.058210
BR12HS,51.399428,0.058117
BR12HT,51.401651,0.056492
BR12HU,51.402326,0.056939
BR12HW,51.400039,0.054047
BR12HX,51.401135,0.057173
BR12HY,51.397866,0.053878
BR12HZ,51.398158,0.053604
BR12JA,51.399552,0.059273
BR12JB,51.399117,0.060475
BR12JD,51.398521,0.052944
BR12JE,51.397440,0.052522
BR12JF,51.397763,0.052033
BR12JG,51.404443,0.045934
BR12JH,51.395298,0.047453
BR12JJ,51.401119,0.039575
BR12JL,51.394226,0.047089
BR12JN,51.393808,0.048881
BR12JP,51.393331,0.046790
BR12JQ,51.400056,0.059713
BR12JR,51.393226,0.049718
BR12JS,51.394278,0.049765
BR12JT,51.394177,0.051384
BR12JU,51.393736,0.050890
BR12JW,51.393817,0.048350
BR12JX,51.391813,0.050862
BR12JY,51.392045,0.049909
BR12JZ,51.391279,0.049473
BR12LA,51.391678,0.051330
BR12LB,51.398332,0.048810
BR12LD,51.397899,0.049380
BR12LE,51.396642,0.051365
BR12LF,51.396305,0.050071
BR12LG,51.398181,0.050241
BR12LH,51.399819,0.051177
BR12LJ,51.395667,0.050545
BR12LL,51.395441,0.051628
BR12LN,51.398234,0.058538
BR12LP,51.397815,0.055759
BR12LQ,51.397449,0.050984
BR12LR,51.395601,0.054812
BR12LS,51.394712,0.054743
BR12LT,51.397633,0.050216
BR12LU,51.395444,0.053540
BR12LW,51.396679,0.059015
BR12LX,51.397019,0.054444
BR12LY,51.394568,0.052193
BR12LZ,51.394863,0.052306
BR12NA,51.402663,0.038163
BR12NB,51.402532,0.038991
BR12ND,51.403010,0.040450
BR12NE,51.404604,0.037717
BR12NF,51.404390,0.037132
BR12NG,51.406001,0.037046
BR12NH,51.404562,0.038621
BR12NJ,51.406230,0.042491
BR12NL,51.407277,0.044838
BR12NN,51.405021,0.038569
BR12NP,51.406211,0.047206
BR12NQ,51.406558,0.037603
BR12NR,51.405896,0.046689
BR12NS,51.405448,0.046597
BR12NT,51.406910,0.049883
BR12NU,51.406224,0.049522
